,sell_money
0,1662560687.663738
1,1662575188.6734393
2,1662524065.654573
3,1662617326.5228498
4,1662576460.0942295
5,1662649379.411129
6,1662516455.6494524
7,1662643986.77955
8,1662650793.0932512
9,1662663723.9938629
10,1662556129.2800024
11,1662506890.2815154
12,1662629509.2633793
13,1662519323.4409695
14,1662698395.3132367
15,1662543791.861159
16,1662586146.841094
17,1662671627.0756443
18,1662605528.6613824
19,1662572714.1307049
20,1662579704.2343009
21,1662562498.8750834
22,1662643528.8006973
23,1662632615.1277018
24,1662530576.514451
25,1662548469.2123175
26,1662544100.5525227
27,1662619247.1779165
28,1662507801.2910304
29,1662598355.6729147
30,1662619262.8836005
31,1662519521.6774986
32,1662516152.9766548
33,1662613210.2983747
34,1662665514.031966
35,1662516773.1730802
36,1662575007.3679323
37,1662651357.4063325
38,1662570274.2020993
39,1662634360.1988719
40,1662662290.8509378
41,1662575533.0140026
42,1662576582.1851745
43,1662661622.5709212
44,1662635148.3023956
45,1662543317.4586065
46,1662565679.919197
47,1662515123.5194213
48,1662494271.1615374
49,1662543557.7421827
50,1662593725.365944
51,1662640437.432821
52,1662535065.429186
53,1662625091.5410872
54,1662624761.993535
55,1662532174.8764055
56,1662652160.3265796
57,1662625134.1492946
58,1662623071.475989
59,1662581544.9146454
60,1662585265.1072242
61,1662590004.1687074
62,1662587671.251463
63,1662516741.2206144
64,1662508733.0442436
65,1662658836.5450737
66,1662586558.7111142
67,1662557606.477174
68,1662566878.6692672
69,1662583149.7047224
70,1662577466.7833836
71,1662615711.4406147
72,1662588070.7125218
73,1662560272.253592
74,1662683800.0439253
75,1662632627.6932738
76,1662537714.8647704
77,1662589853.4574678
78,1662544997.1234696
79,1662650333.8799355
80,1662547541.029408
81,1662493245.7497528
82,1662533823.2947836
83,1662671883.492117
84,1662485152.5142508
85,1662687074.886283
86,1662675844.73037
87,1662554475.528118
88,1662655213.3420606
89,1662654059.9836612
90,1662608005.4346523
91,1662596659.8800638
92,1662674118.5106287
93,1662627150.6303813
94,1662659800.143286
95,1662545983.4587336
96,1662634288.48571
97,1662513233.2560337
98,1662646356.0394115
99,1662571842.0250256
100,1662586657.5339167
101,1662674382.8347285
102,1662564407.0968776
103,1662598709.9772704
104,1662541330.6715205
105,1662681485.2105405
106,1662633949.5467048
107,1662589420.505785
108,1662583731.3511012
109,1662536803.1849322
110,1662630339.0495136
111,1662512416.1339135
112,1662678245.1709907
113,1662533955.7945483
114,1662652928.650549
115,1662578850.809727
116,1662597512.3284361
117,1662616119.737677
118,1662562231.7242577
119,1662627897.981184
120,1662563638.3814769
121,1662701559.1075144
122,1662619353.6506884
123,1662570829.834082
124,1662541554.0305634
125,1662585653.4955935
126,1662593082.0336432
127,1662621813.3871417
128,1662527119.4018242
129,1662655344.3631816
130,1662611142.1972568
131,1662576885.4360185
132,1662563513.368376
133,1662649294.3035793
134,1662604800.1190557
135,1662574011.2249207
136,1662618622.0118833
137,1662562670.9270766
138,1662572285.0240061
139,1662602521.5985365
140,1662608243.8188756
141,1662539525.6737242
142,1662584721.43146
143,1662575982.116572
144,1662603086.4019103
145,1662625798.006821
146,1662602637.6230712
147,1662581104.0520303
148,1662700597.52368
149,1662508536.564482
150,1662560423.8482308
151,1662525492.0712028
152,1662635024.8418815
153,1662541184.220809
154,1662655169.6598372
155,1662542969.3773196
156,1662598438.2653642
157,1662605049.9926214
158,1662584613.0275657
159,1662555086.0000443
160,1662627990.9783053
161,1662607807.708417
162,1662585130.8537443
163,1662554790.1730535
164,1662552313.142902
165,1662612046.6945524
166,1662671101.4538481
167,1662564139.9243858
168,1662652072.8825722
169,1662657700.5978496
170,1662614312.8753862
171,1662644239.0925105
172,1662656978.8941073
173,1662608303.245068
174,1662657194.3005707
175,1662669161.4085732
176,1662578474.9349535
177,1662549241.0413811
178,1662510661.1531944
179,1662582746.2379627
180,1662607794.466645
181,1662659542.2864397
182,1662595711.8488023
183,1662550583.4901187
184,1662573793.3182144
185,1662690028.816555
186,1662611915.8682384
187,1662613611.3644202
188,1662640868.9460764
189,1662609008.822574
190,1662608897.7608712
191,1662610124.8478897
192,1662609576.382812
193,1662572568.4424002
194,1662631167.2698138
195,1662524321.4718418
196,1662637241.7748048
197,1662602462.4908545
198,1662581310.2214358
199,1662602940.9889247
200,1662523444.0957572
201,1662633181.8713918
202,1662681181.07103
203,1662555893.422275
204,1662692855.0866728
205,1662565746.776961
206,1662681896.331819
207,1662654489.6460602
208,1662608831.0274627
209,1662521251.1724262
210,1662629818.31789
211,1662694519.734775
212,1662673335.2151847
213,1662653463.4002547
214,1662477822.2502
215,1662552557.0133972
216,1662586836.1561348
217,1662500309.5289383
218,1662630053.7478752
219,1662556166.4747884
220,1662658304.9077795
221,1662622625.6851244
222,1662589216.7843962
223,1662532178.6908746
224,1662547430.7402797
225,1662687735.590248
226,1662601942.205165
227,1662514840.0385206
228,1662552517.4088302
229,1662527588.1005583
230,1662526160.4286232
231,1662563477.3925848
232,1662570700.8530538
233,1662711847.903436
234,1662656483.2099955
235,1662540293.9772928
236,1662486590.4848828
237,1662637083.2476552
238,1662594877.7192154
239,1662581002.1172159
240,1662535847.6791484
241,1662622959.9943786
242,1662646766.0291605
243,1662644841.9963162
244,1662687121.3413997
245,1662651402.2742324
246,1662674109.618608
247,1662535812.6603374
248,1662692518.3012135
249,1662556364.7163382
250,1662578148.5920963
251,1662642863.919909
252,1662631313.0015266
253,1662547914.1271093
254,1662644624.5934322
255,1662708199.6101854
256,1662562201.9653928
257,1662619105.4332633
258,1662554336.4756942
259,1662580410.6189106
260,1662517599.569176
261,1662609340.9914901
262,1662687086.9853072
263,1662576585.2906284
264,1662638077.7564964
265,1662616599.7184238
266,1662507803.6551733
267,1662610549.7151952
268,1662606248.5892918
269,1662612087.2995996
270,1662538990.9043822
271,1662586808.343955
272,1662561405.5046923
273,1662572969.1129122
274,1662620703.95892
275,1662535077.4695027
276,1662599789.785274
277,1662491729.2646136
278,1662671822.656633
279,1662605942.2051404
280,1662570930.376601
281,1662660661.145334
282,1662601832.0538008
283,1662603699.972899
284,1662658770.46934
285,1662610360.6206892
286,1662542685.815487
287,1662578993.5078018
288,1662617765.7873824
289,1662540124.1683521
290,1662631244.5892475
291,1662576602.2629242
292,1662504989.6426516
293,1662620750.6465487
294,1662606184.911356
295,1662616017.6016536
296,1662634667.6869967
297,1662533609.8425882
298,1662564507.428504
299,1662518093.7846048
300,1662645676.3062577
301,1662610524.2707462
302,1662559721.1451855
303,1662633811.3674715
304,1662644667.8400927
305,1662559555.3294506
306,1662529564.7199461
307,1662628130.177499
308,1662562914.1987743
309,1662564796.0624297
310,1662626972.118975
311,1662676418.672687
312,1662628352.1045995
313,1662599425.6870604
314,1662583858.6675541
315,1662627782.2330112
316,1662555498.2438006
317,1662604742.6758342
318,1662556560.5818515
319,1662555060.924008
320,1662670013.3609476
321,1662593834.919437
322,1662588402.4322605
323,1662582693.1018317
324,1662538837.0953214
325,1662499036.334564
326,1662542508.380789
327,1662627822.6407597
328,1662696855.5634193
329,1662523245.9310403
330,1662640118.2098138
331,1662589385.8211522
332,1662586551.4392288
333,1662575620.154322
334,1662656629.0988917
335,1662598814.9676409
336,1662651155.473701
337,1662532299.031148
338,1662571040.5519624
339,1662645790.1628914
340,1662636144.7278616
341,1662640208.2888846
342,1662614176.211704
343,1662492066.4540973
344,1662658441.3518946
345,1662553376.2230213
346,1662523757.4858804
347,1662602455.2972744
348,1662558367.3422792
349,1662716820.071152
350,1662644908.3304672
351,1662584902.8939033
352,1662531266.5164158
353,1662620503.049194
354,1662654612.116558
355,1662582470.849901
356,1662532855.3217378
357,1662655546.05572
358,1662647835.5107262
359,1662611362.8694706
360,1662573475.587825
361,1662570864.7598019
362,1662587835.627688
363,1662655827.4524379
364,1662584131.4792457
365,1662537676.6503272
366,1662600944.9465191
367,1662665687.21167
368,1662653434.9703085
369,1662653868.4705107
370,1662648842.3324585
