,losses
0,103.62397003173828
1,103.58445739746094
2,103.85603332519531
3,102.306640625
4,102.89464569091797
5,100.64573669433594
6,99.77417755126953
7,100.68602752685547
8,100.05199432373047
9,99.51280975341797
10,101.3930892944336
11,97.3049545288086
12,99.50323486328125
13,99.54361724853516
14,96.21949768066406
15,98.7161636352539
16,96.33415985107422
17,98.0719223022461
18,99.36322021484375
19,96.8289794921875
20,96.48885345458984
21,96.4867935180664
22,96.37606811523438
23,95.86854553222656
24,94.73837280273438
25,95.14762878417969
26,94.19227600097656
27,94.0919418334961
28,93.76180267333984
29,96.14574432373047
30,93.7326889038086
31,94.23516845703125
32,92.14449310302734
33,93.76748657226562
34,94.703857421875
35,91.9873275756836
36,90.11219787597656
37,91.91716003417969
38,92.44599914550781
39,93.32942962646484
40,93.54679870605469
41,92.33055877685547
42,90.6051025390625
43,93.10752868652344
44,89.5462417602539
45,86.24394989013672
46,89.01460266113281
47,90.72068786621094
48,89.43785095214844
49,89.16519165039062
50,90.21593475341797
51,86.34638214111328
52,86.59274291992188
53,86.14632415771484
54,90.57341766357422
55,85.62725830078125
56,86.12703704833984
57,87.21868896484375
58,86.89231872558594
59,88.69110870361328
60,85.72023010253906
61,89.24540710449219
62,86.56423950195312
63,83.94628143310547
64,86.7316665649414
65,87.18832397460938
66,81.98109436035156
67,85.92207336425781
68,85.50845336914062
69,87.70470428466797
70,85.24622344970703
71,84.82792663574219
72,81.7080307006836
73,88.48916625976562
74,89.01313781738281
75,85.28602600097656
76,80.75447082519531
77,84.93765258789062
78,87.77786254882812
79,89.05133056640625
80,84.69703674316406
81,85.91273498535156
82,81.5494613647461
83,85.17765808105469
84,82.65259552001953
85,85.16351318359375
86,87.79644775390625
87,85.29145812988281
88,80.92151641845703
89,83.79163360595703
90,85.18777465820312
91,82.72404479980469
92,76.48969268798828
93,79.84142303466797
94,80.46615600585938
95,77.24364471435547
96,82.5569839477539
97,76.6587142944336
98,76.89962768554688
99,84.0263442993164
100,75.02835083007812
101,79.20278930664062
102,75.71923065185547
103,73.86135864257812
104,86.13585662841797
105,72.34153747558594
106,78.5130386352539
107,78.93060302734375
108,74.17753601074219
109,77.04142761230469
110,78.09864044189453
111,76.239501953125
112,78.42382049560547
113,79.4698257446289
114,74.36060333251953
115,79.10784912109375
116,80.8265609741211
117,79.31198120117188
118,75.96644592285156
119,70.41300201416016
120,74.16590118408203
121,74.2411117553711
122,72.5085220336914
123,72.63512420654297
124,74.6185531616211
125,76.82726287841797
126,71.01602935791016
127,75.7358169555664
128,76.83472442626953
129,73.83214569091797
130,71.7087173461914
131,74.17538452148438
132,72.6863784790039
133,75.50184631347656
134,73.09249877929688
135,64.92957305908203
136,76.10763549804688
137,77.15496826171875
138,73.2508544921875
139,72.5950927734375
140,70.60364532470703
141,74.17280578613281
142,71.31000518798828
143,75.70693969726562
144,75.44694519042969
145,78.77320861816406
146,72.21601104736328
147,75.09530639648438
148,73.35710144042969
149,80.71308135986328
150,74.29027557373047
151,68.97390747070312
152,79.2030029296875
153,75.90730285644531
154,69.78035736083984
155,73.64710998535156
156,72.19239044189453
157,68.91333770751953
158,67.57450866699219
159,71.43792724609375
160,72.8669204711914
161,74.01957702636719
162,62.52063751220703
163,75.81236267089844
164,71.17932891845703
165,65.18238067626953
166,74.17103576660156
167,68.35933685302734
168,71.6357192993164
169,68.84719848632812
170,63.96668243408203
171,74.83468627929688
172,74.08292388916016
173,73.09791564941406
174,74.34383392333984
175,66.92097473144531
176,68.3125228881836
177,65.69064331054688
178,74.05722045898438
179,70.35147857666016
180,70.80036163330078
181,66.92583465576172
182,69.04161071777344
183,67.5348892211914
184,71.17985534667969
185,68.16921997070312
186,68.33049774169922
187,67.7488021850586
188,70.89506530761719
189,69.89109802246094
190,69.67427062988281
191,66.59295654296875
192,67.82456970214844
193,69.18195343017578
194,69.13491821289062
195,62.20144271850586
196,61.364601135253906
197,69.84235382080078
198,68.22056579589844
199,67.50691223144531
200,66.39225769042969
201,65.13443756103516
202,65.01332092285156
203,64.70431518554688
204,63.57844543457031
205,66.85736846923828
206,71.84220123291016
207,66.38382720947266
208,62.546234130859375
209,70.81819915771484
210,72.51390075683594
211,57.822208404541016
212,78.14968872070312
213,63.42014694213867
214,75.35243225097656
215,68.97831726074219
216,68.48546600341797
217,62.256248474121094
218,67.68750762939453
219,69.6247787475586
220,67.20944213867188
221,60.77809524536133
222,63.848594665527344
223,64.98239135742188
224,69.05001068115234
225,68.96621704101562
226,60.743797302246094
227,66.16200256347656
228,65.12735748291016
229,62.06492614746094
230,59.110328674316406
231,65.78532409667969
232,58.40768814086914
233,65.39591217041016
234,59.468223571777344
235,58.7087287902832
236,62.51254653930664
237,58.88045883178711
238,56.04843521118164
239,69.26455688476562
240,60.04309844970703
241,61.78946304321289
242,66.73124694824219
243,60.08024597167969
244,65.63978576660156
245,57.74208450317383
246,62.80314254760742
247,64.62894439697266
248,67.56145477294922
249,63.144264221191406
250,68.051513671875
251,66.25350952148438
252,71.16405487060547
253,67.74938201904297
254,57.141578674316406
255,55.345115661621094
256,55.511295318603516
257,64.24679565429688
258,70.50979614257812
259,64.51573944091797
260,67.43635559082031
261,55.382591247558594
262,58.47447967529297
263,72.97615051269531
264,61.93553924560547
265,62.13584518432617
266,61.241729736328125
267,59.532257080078125
268,56.58284378051758
269,55.58367156982422
270,69.15716552734375
271,74.79847717285156
272,63.149383544921875
273,71.200439453125
274,62.403053283691406
275,66.00810241699219
276,61.03111267089844
277,51.355384826660156
278,66.32140350341797
279,57.26922607421875
280,59.779876708984375
281,49.530330657958984
282,57.729984283447266
283,53.27604675292969
284,60.52934265136719
285,53.67934036254883
286,54.582427978515625
287,55.64691925048828
288,61.74082946777344
289,56.55107116699219
290,59.842185974121094
291,60.10174560546875
292,43.48476791381836
293,64.32327270507812
294,69.83287811279297
295,65.43033599853516
296,56.10386657714844
297,48.96924591064453
298,56.73472595214844
299,72.07286071777344
300,54.069091796875
301,53.85508346557617
302,58.430511474609375
303,63.82012939453125
304,60.92467498779297
305,54.08335876464844
306,58.03163528442383
307,73.6357421875
308,56.46472930908203
309,58.82926559448242
310,69.87825012207031
311,58.61079406738281
312,55.774532318115234
313,57.18324279785156
314,46.05670166015625
315,60.694339752197266
316,56.51366424560547
317,55.21369171142578
318,67.8019027709961
319,65.63691711425781
320,54.501686096191406
321,41.42855453491211
322,57.81351089477539
323,63.090755462646484
324,58.250335693359375
325,50.21901321411133
326,72.70620727539062
327,54.58902359008789
328,48.0438232421875
329,50.703983306884766
330,58.457557678222656
331,59.54950714111328
332,52.301856994628906
333,57.499237060546875
334,60.39134216308594
335,55.48374557495117
336,68.06712341308594
337,57.20045471191406
338,63.64775466918945
339,58.675514221191406
340,52.424949645996094
341,54.58333206176758
342,58.59524917602539
343,53.361610412597656
344,52.997276306152344
345,59.81741714477539
346,46.0583381652832
347,52.23633575439453
348,64.6650390625
349,58.96756362915039
350,63.317726135253906
351,60.67858123779297
352,54.1609992980957
353,53.40119934082031
354,46.95417022705078
355,63.161251068115234
356,53.42524337768555
357,61.0815544128418
358,60.57783508300781
359,49.64865493774414
360,56.3040771484375
361,42.24958419799805
362,61.552223205566406
363,47.04705047607422
364,52.81948471069336
365,66.23201751708984
366,58.01197814941406
367,56.704898834228516
368,57.47391891479492
369,50.410987854003906
370,46.25959777832031
371,47.549320220947266
372,68.4084701538086
373,55.34070587158203
374,59.44474792480469
375,56.121829986572266
376,57.29826736450195
377,43.14475631713867
378,49.08863067626953
379,52.621856689453125
380,56.98434066772461
381,42.56114959716797
382,50.75846481323242
383,46.30204391479492
384,57.994224548339844
385,46.059444427490234
386,44.84792709350586
387,62.62024688720703
388,44.262901306152344
389,52.17355728149414
390,57.52201843261719
391,51.87967300415039
392,57.597991943359375
393,58.98257827758789
394,66.45414733886719
395,47.211639404296875
396,52.6867561340332
397,54.943023681640625
398,50.94417953491211
399,54.65302658081055
400,70.24834442138672
401,53.00044250488281
402,62.5026969909668
403,52.453819274902344
404,51.624717712402344
405,54.29881286621094
406,41.2218017578125
407,36.801727294921875
408,40.698814392089844
409,52.131290435791016
410,49.371116638183594
411,55.007347106933594
412,50.26002883911133
413,35.02443313598633
414,62.33772659301758
415,38.83681869506836
416,52.26787567138672
417,54.32577896118164
418,42.35577392578125
419,56.03260040283203
420,50.78705978393555
421,49.486175537109375
422,47.618858337402344
423,51.42572021484375
424,59.1328125
425,52.821407318115234
426,44.734100341796875
427,44.21809005737305
428,58.88890075683594
429,56.282859802246094
430,53.022064208984375
431,50.58110809326172
432,45.21348571777344
433,40.20815658569336
434,45.45718765258789
435,50.156944274902344
436,45.15126037597656
437,58.90447998046875
438,44.507266998291016
439,66.67439270019531
440,43.5392951965332
441,52.10930252075195
442,47.0259895324707
443,41.04439163208008
444,46.81988525390625
445,55.22163391113281
446,43.227088928222656
447,44.1059684753418
448,44.54432678222656
449,55.34076690673828
450,49.12117004394531
451,51.32802200317383
452,48.7126350402832
453,51.984947204589844
454,46.73512268066406
455,44.83104705810547
456,49.87833023071289
457,53.51385498046875
458,43.46109390258789
459,41.613739013671875
460,59.4053955078125
461,55.91709899902344
462,44.689292907714844
463,47.2108154296875
464,40.01070022583008
465,46.253421783447266
466,41.44430923461914
467,62.139217376708984
468,45.15013885498047
469,53.656803131103516
470,56.791725158691406
471,51.10470962524414
472,47.233802795410156
473,36.9026985168457
474,52.0665168762207
475,48.42420196533203
476,41.73821258544922
477,55.92333221435547
478,48.81159210205078
479,51.696983337402344
480,61.749149322509766
481,35.175174713134766
482,47.42164993286133
483,44.13077163696289
484,52.674495697021484
485,48.958091735839844
486,54.170936584472656
487,59.88436508178711
488,56.469512939453125
489,57.468231201171875
490,52.179237365722656
491,39.15990447998047
492,54.54363250732422
493,43.69157791137695
494,43.169273376464844
495,44.65708923339844
496,44.56898498535156
497,52.26087188720703
498,64.17459106445312
499,61.495182037353516
500,65.21782684326172
501,61.73616027832031
502,45.696128845214844
503,56.31866455078125
504,52.206268310546875
505,52.540157318115234
506,43.693626403808594
507,58.35528564453125
508,62.260841369628906
509,44.71359634399414
510,35.383296966552734
511,71.676025390625
512,42.65911865234375
513,48.72468566894531
514,50.784358978271484
515,59.18214797973633
516,50.78850173950195
517,38.24314880371094
518,56.6127815246582
519,50.52390670776367
520,55.64729309082031
521,48.827362060546875
522,57.31855392456055
523,43.133216857910156
524,36.52491760253906
525,45.534523010253906
526,41.89305114746094
527,59.74290084838867
528,61.52690887451172
529,57.00804138183594
530,43.43621063232422
531,68.27198791503906
532,53.80022048950195
533,46.574642181396484
534,50.40239715576172
535,63.59941101074219
536,52.5866584777832
537,44.830726623535156
538,44.70802688598633
539,52.10700988769531
540,53.202823638916016
541,46.80913543701172
542,55.16265106201172
543,54.06907653808594
544,56.165225982666016
545,33.18749237060547
546,50.33926773071289
547,48.67778778076172
548,49.352256774902344
549,73.35611724853516
550,61.80145263671875
551,40.69392395019531
552,63.276817321777344
553,52.35051345825195
554,58.28703308105469
555,48.34318161010742
556,53.957149505615234
557,68.6968002319336
558,50.71269226074219
559,49.65312194824219
560,55.03870391845703
561,60.71663284301758
562,45.412513732910156
563,34.92788314819336
564,57.962276458740234
565,51.5483283996582
566,55.33501434326172
567,47.24150848388672
568,43.146507263183594
569,62.43901824951172
570,59.74773025512695
571,43.34296417236328
572,66.29569244384766
573,44.850624084472656
574,55.08868408203125
575,42.908790588378906
576,46.317928314208984
577,47.16464614868164
578,43.16141128540039
579,62.50191879272461
580,41.77178192138672
581,38.74653625488281
582,69.0135726928711
583,51.61283874511719
584,39.378231048583984
585,54.379661560058594
586,47.88209533691406
587,63.95244598388672
588,42.15428924560547
589,72.02094268798828
590,63.76256561279297
591,41.94215393066406
592,50.35795593261719
593,52.461639404296875
594,50.205528259277344
595,48.37970733642578
596,42.474796295166016
597,58.2091178894043
598,45.325897216796875
599,54.349525451660156
600,60.204673767089844
601,41.7130012512207
602,52.34095001220703
603,41.50209045410156
604,52.272178649902344
605,43.09255599975586
606,56.61970901489258
607,61.65494155883789
608,41.484825134277344
609,61.10783767700195
610,62.27849578857422
611,66.42494201660156
612,46.56376647949219
613,66.66978454589844
614,63.022891998291016
615,70.75605773925781
616,62.50632095336914
617,57.30690002441406
618,55.84907913208008
619,51.503204345703125
620,58.31202697753906
621,44.0640983581543
622,64.28433227539062
623,70.61178588867188
624,45.43989181518555
625,59.247535705566406
626,42.573341369628906
627,52.789085388183594
628,56.67023849487305
629,47.86339569091797
630,69.23365783691406
631,38.10959243774414
632,47.23546600341797
633,63.940834045410156
634,60.71638488769531
635,59.4334716796875
636,59.55290603637695
637,51.94111251831055
638,72.44426727294922
639,35.205482482910156
640,58.52582550048828
641,57.29246520996094
642,56.43524169921875
643,56.45234298706055
644,46.341251373291016
645,37.6041374206543
646,71.14456176757812
647,59.42284393310547
648,53.409542083740234
649,41.89765930175781
650,55.729339599609375
651,64.87680053710938
652,60.07948684692383
653,47.049781799316406
654,48.4464111328125
655,67.76349639892578
656,58.3290901184082
657,47.029457092285156
658,48.80320739746094
659,58.00051498413086
660,45.25843811035156
661,71.11392211914062
662,63.08597946166992
663,50.85125732421875
664,56.0999755859375
665,54.45320510864258
666,58.56238555908203
667,48.01130676269531
668,55.124908447265625
669,53.90545654296875
670,49.24816131591797
671,56.77128982543945
672,53.51359176635742
673,50.49079895019531
674,63.91083908081055
675,45.04499053955078
676,61.07579040527344
677,61.7191162109375
678,61.264305114746094
679,54.551490783691406
680,71.29847717285156
681,38.90031814575195
682,53.342735290527344
683,49.12101745605469
684,45.15443801879883
685,58.017356872558594
686,38.986244201660156
687,56.844242095947266
688,38.09950256347656
689,54.513057708740234
690,52.170169830322266
691,48.8820915222168
692,49.473690032958984
693,54.2384033203125
694,42.507789611816406
695,40.843013763427734
696,55.61763000488281
697,53.958106994628906
698,57.63161849975586
699,51.16747283935547
700,51.94059371948242
701,59.22589111328125
702,43.696678161621094
703,50.642852783203125
704,55.09925079345703
705,39.47840881347656
706,52.75574493408203
707,69.10246276855469
708,40.49761962890625
709,50.78814697265625
710,51.167720794677734
711,59.2254638671875
712,79.33362579345703
713,52.848976135253906
714,43.51523971557617
715,39.449676513671875
716,39.8093147277832
717,47.28538513183594
718,51.88999557495117
719,42.6661376953125
720,49.8486328125
721,51.69367599487305
722,71.30570220947266
723,49.893768310546875
724,55.74410629272461
725,55.04180145263672
726,55.393978118896484
