,cum_rewards
0,-307.72827336261486
1,-307.583263265601
2,-308.0944934542665
3,-307.16188477150115
4,-307.570549057704
5,-306.84135588870254
6,-308.1705935054721
7,-306.8952822044965
8,-306.8272190674872
9,-306.6979100613713
10,-307.7738571999717
11,-308.26624718484396
12,-307.0400573662033
13,-308.1419155903038
14,-306.35119686763
15,-307.89723138840736
16,-307.4736815890594
17,-306.6188792435553
18,-307.27986338617126
19,-307.60800869294746
20,-307.5381076569858
21,-307.71016124916207
22,-306.89986199302353
23,-307.008998722982
24,-308.0293848554867
25,-307.85045787682185
26,-307.8941444747708
27,-307.1426782208287
28,-308.25713708968846
29,-307.3515932708478
30,-307.1425211639893
31,-308.13993322501364
32,-308.1736202334489
33,-307.2030470162526
34,-306.68000968033573
35,-308.1674182691951
36,-307.5850763206736
37,-306.82157593667324
38,-307.63240797900283
39,-306.99154801127804
40,-306.7122414906163
41,-307.57981985996815
42,-307.56932814825586
43,-306.7189242907865
44,-306.983666976041
45,-307.9019754139285
46,-307.67835080802513
47,-308.1839148057834
48,-308.3924383846254
49,-307.89957257816974
50,-307.397896340558
51,-306.9307756717877
52,-307.98449570813676
53,-307.08423458912375
54,-307.08753006464826
55,-308.0134012359454
56,-306.81354673420304
57,-307.08380850705225
58,-307.1044352401061
59,-307.5197008535402
60,-307.4824989277547
61,-307.4351083129221
62,-307.4584374853656
63,-308.16773779385215
64,-308.24781955756066
65,-306.7467845492607
66,-307.4695628888563
67,-307.75908522825534
68,-307.6663633073261
69,-307.5036529527722
70,-307.56048216616114
71,-307.1780355938505
72,-307.45444287477943
73,-307.732427464078
74,-306.4971495607442
75,-307.00887306726037
76,-307.95800135229587
77,-307.4366154253199
78,-307.88517876530267
79,-306.8318112006425
80,-307.85973970591976
81,-308.4026925024693
82,-307.99691705215963
83,-306.6163150788271
84,-308.48362485748606
85,-306.4644011371713
86,-306.5767026962975
87,-307.79039471881816
88,-306.7830165793937
89,-306.79455016338426
90,-307.2550956534712
91,-307.36855119935825
92,-306.59396489370926
93,-307.0636436961847
94,-306.7371485671345
95,-307.8753154126607
96,-306.9922651429007
97,-308.20281743966103
98,-306.8715896058787
99,-307.6167297497429
100,-307.4685746608282
101,-306.5913216527139
102,-307.69107903121744
103,-307.34805022729284
104,-307.9218432847913
105,-306.5202978945897
106,-306.9956545329494
107,-307.44094494214823
108,-307.49783648898807
109,-307.96711815067295
110,-307.0317595048626
111,-308.2109886608643
112,-306.5526982900905
113,-307.995592054514
114,-306.80586349450607
115,-307.5466419027249
116,-307.36002671563057
117,-307.17395262322896
118,-307.7128327574191
119,-307.05617018815747
120,-307.6987661852231
121,-306.3195589248561
122,-307.14161349311195
123,-307.62685165917645
124,-307.91960969436303
125,-307.47861504406166
126,-307.4043296635641
127,-307.11701612858104
128,-308.06395598175556
129,-306.7817063681796
130,-307.2237280274303
131,-307.56629563981306
132,-307.7000163162354
133,-306.84220696420266
134,-307.2871488094383
135,-307.59503775079014
136,-307.14892988116566
137,-307.708440729234
138,-307.6122997599379
139,-307.30993401463235
140,-307.2527118112461
141,-307.9398932627529
142,-307.48793568539736
143,-307.5753288342782
144,-307.3042859808931
145,-307.07716993178923
146,-307.3087737692813
147,-307.52410947968957
148,-306.3291747631935
149,-308.2497843551758
150,-307.7309115176893
151,-308.0802292879704
152,-306.98490158118125
153,-307.9233077919055
154,-306.7834534016264
155,-307.9054562268031
156,-307.3507673463534
157,-307.284650073783
158,-307.48901972434044
159,-307.7842899995553
160,-307.0552402169448
161,-307.2570729158271
162,-307.48384146255154
163,-307.78724826946296
164,-307.81201857097824
165,-307.21468305447246
166,-306.6241354615147
167,-307.69375075613686
