,cum_rewards
147,-307.99407318935533
148,-306.9902837916158
149,-307.0587393772085
150,-307.37633085211206
151,-307.2781237984188
152,-307.0745238227735
153,-307.10064251091677
154,-307.984257379884
155,-306.4636348465294
156,-306.90219450112085
157,-306.8192533988973
158,-307.0086268282234
159,-307.01732371595904
160,-307.47609526751734
161,-306.64598131855234
162,-307.1175016191967
163,-306.89425983323065
164,-308.0455706809616
165,-307.0020460330045
166,-307.25901254914555
167,-306.5490734195176
168,-307.28467386206614
169,-307.98047884589636
170,-308.02747634006596
171,-308.2317859936658
172,-307.4820410223828
173,-305.96870088880013
174,-306.6730765357697
175,-306.8621009108191
176,-307.70026706860443
177,-306.8244053288019
178,-306.83223777147856
179,-307.6806324732361
180,-306.37599896698595
181,-307.72517375862395
182,-307.47658123833804
183,-307.13582104302253
184,-306.83372261516973
185,-307.36601110964955
186,-307.0346690164482
187,-307.14340891792654
188,-307.53031133457097
189,-307.4033089054746
190,-307.98136583083715
191,-307.72664345981116
192,-307.28905762689504
193,-306.8947483085635
194,-306.78752504614096
195,-307.00325326499
196,-307.88767699171376
197,-308.0339096539151
198,-307.4654911838118
199,-308.0198382931653
200,-307.2595268592907
201,-307.10585758790035
202,-307.29404664173614
203,-307.4587401182281
204,-306.9662319187587
205,-307.87553681926863
206,-307.7682446681542
207,-307.3694082061757
208,-306.33900079847456
209,-308.0487046453754
210,-308.166308977079
211,-307.5411594578509
212,-306.6074099517924
213,-307.17771421377864
214,-307.32624366079915
215,-307.7982998413466
216,-308.07170235858894
217,-306.7874269888413
218,-306.3394170429636
219,-307.7271454130919
220,-308.395643738266
221,-307.58904659313646
222,-307.30380221778387
223,-308.1210006233835
224,-306.3330939380709
225,-307.81079262720533
226,-306.99736443056275
227,-307.0848198614753
228,-306.966667668172
229,-307.7952520865188
230,-306.785332975001
231,-307.69704031480137
232,-306.7915129727832
233,-307.7525915827906
234,-308.09666092389085
235,-306.9168245173509
236,-308.2189930316588
237,-307.47170906286436
238,-308.1210683289341
239,-306.655304532525
240,-308.33558730536515
241,-306.9494675155118
242,-307.0675667830779
243,-307.9269191928125
244,-307.7213272199077
245,-307.5970490759721
246,-307.913460187802
247,-307.0067766681331
248,-307.36373750258133
249,-306.73437724725574
250,-307.7161943990796
251,-306.6947970876161
252,-307.26882580813157
253,-308.2919275927358
254,-307.3944365407036
255,-307.262428189821
256,-307.28406797078685
257,-307.44534901387243
258,-307.78184825873126
259,-307.27638275508696
260,-307.8015425285684
261,-306.92933587471737
262,-307.8031040924298
263,-307.03864235660814
264,-308.05071955793227
265,-307.38094691802416
266,-306.40766448221774
267,-306.9226102036646
268,-307.1367868035829
269,-307.3269951806638
270,-307.63634112072293
271,-306.5737562932834
272,-307.2004418137097
273,-307.9311436609617
274,-306.789363340816
275,-307.2879764784472
276,-307.7773047743763
277,-307.4436296537105
278,-306.9797490954478
279,-307.66403387787886
280,-307.0647271907672
281,-307.74304926313374
282,-307.87932931526046
283,-308.32937836344905
284,-306.55442519790404
285,-307.30697653687366
286,-306.7875531790262
287,-307.09310242226786
288,-308.1347141374432
289,-307.6056948864239
290,-307.30581716888616
291,-307.11825874731727
292,-308.1919393889001
293,-307.22299250532035
294,-307.24408369653435
295,-307.36705862693435
296,-307.66680548878816
297,-306.8943149730543
298,-307.0815424927428
299,-308.08297891025387
300,-307.20596666053115
301,-307.9495404163557
302,-306.9487759495654
