,sell_money
0,1662628622.8082943
1,1662551521.2480762
2,1662555111.0631325
3,1662565615.6445875
4,1662570793.8392432
5,1662529452.4123993
6,1662548785.4784632
7,1662572987.6579723
8,1662638980.6890705
9,1662625192.4328105
10,1662583401.2494416
11,1662576973.2272635
12,1662679607.0141208
13,1662531057.2963092
14,1662569781.8718004
15,1662580373.2677343
16,1662624509.8290603
17,1662532072.534251
18,1662582332.7815692
19,1662513622.737613
20,1662598314.6989317
21,1662453048.7422104
22,1662618528.1034055
23,1662665161.1731818
24,1662618753.9639149
25,1662502458.7554386
26,1662584488.816242
27,1662508698.5999298
28,1662524627.9337838
29,1662596017.1979449
30,1662569423.9312327
31,1662496464.965679
32,1662582855.77199
33,1662535886.876387
34,1662581774.308586
35,1662604087.6987245
36,1662690802.8139558
37,1662604768.6034844
38,1662633079.0130658
39,1662648774.878068
40,1662648785.1974492
41,1662709054.9510348
42,1662600427.8163776
43,1662552435.1752467
44,1662604806.2101223
45,1662513743.115426
46,1662507566.616637
47,1662627279.8010914
48,1662612828.941609
49,1662544959.252605
50,1662654874.8647954
51,1662641355.5942156
52,1662600032.79432
53,1662478677.828167
54,1662723957.7267833
55,1662600234.8606074
56,1662631870.953319
57,1662531107.0869339
58,1662597262.3170805
59,1662611309.9006062
60,1662630034.6010683
61,1662648301.0938241
62,1662546209.3306718
63,1662596383.0986075
64,1662650772.3768017
65,1662586361.7822711
66,1662579706.1995254
67,1662622955.7687173
68,1662610438.0580208
69,1662550939.0680614
70,1662584102.7479053
71,1662590647.3773036
72,1662621966.6329563
73,1662571670.4640362
74,1662551046.8704963
75,1662617494.3848927
76,1662639310.930008
77,1662584401.3151338
78,1662629538.5649714
79,1662488234.9018266
80,1662586662.1703694
81,1662479094.3392098
82,1662549930.573319
83,1662497586.4330418
84,1662638401.502945
85,1662624888.181514
86,1662592926.7117138
87,1662465587.5888155
88,1662594085.3086414
89,1662549325.5094547
90,1662565584.0538194
91,1662653915.525547
92,1662729809.741477
93,1662533305.5152087
94,1662696803.5789783
95,1662575119.5218475
96,1662491964.4911904
97,1662573232.364726
98,1662628717.5579317
99,1662620045.369919
100,1662586345.9752433
101,1662544577.242473
102,1662643936.439513
103,1662625436.77291
104,1662577263.655728
105,1662553566.7076743
106,1662484108.531714
107,1662657333.3552418
108,1662602866.695961
109,1662649436.3923852
110,1662561558.0062947
111,1662587454.9749374
112,1662591659.7051516
113,1662557673.6999018
114,1662520269.336811
115,1662542595.507788
116,1662525681.6497843
117,1662568663.9343064
118,1662608222.6298032
119,1662645580.772677
120,1662630051.8450139
121,1662615146.2671742
122,1662566867.7321124
123,1662601477.3944361
124,1662587136.1691172
125,1662650331.9553428
126,1662556792.28215
127,1662641888.3507686
128,1662570765.994458
129,1662603505.8362248
130,1662587514.1767418
131,1662548319.3535533
132,1662536632.0780854
133,1662614393.8177433
134,1662591058.259613
135,1662635496.3336968
136,1662710876.1759844
137,1662615465.145188
138,1662644876.3964927
139,1662552701.841409
140,1662648626.581925
141,1662675095.0755465
142,1662626509.5318034
143,1662604701.4989767
144,1662621096.7355542
145,1662682446.3234115
146,1662590858.2665184
147,1662534107.6810641
148,1662634486.6208382
149,1662627641.0622787
150,1662595881.9147885
151,1662605702.6201575
152,1662626062.6177225
153,1662623450.7489083
154,1662535089.262011
155,1662687151.5153468
156,1662643295.5498874
157,1662651589.6601102
158,1662632652.3171773
159,1662631782.6284037
160,1662585905.4732478
161,1662668916.8681448
162,1662621764.8380802
163,1662644089.0166767
164,1662528957.9319036
165,1662633310.3966994
166,1662607613.7450855
167,1662678607.6580482
168,1662605047.6137931
169,1662535467.1154099
170,1662530767.3659933
171,1662510336.400633
172,1662585310.8977613
173,1662736644.9111192
174,1662666207.346423
175,1662647304.9089181
176,1662563488.293139
177,1662651074.4671195
178,1662650291.2228515
179,1662565451.7526755
180,1662695915.103301
181,1662560997.6241372
182,1662585856.876166
183,1662619932.895697
184,1662650142.7384825
185,1662596913.8890347
186,1662630048.0983553
187,1662619174.108207
188,1662580483.8665423
189,1662593184.1094522
190,1662535378.416916
191,1662560850.6540184
192,1662604609.2373102
193,1662644040.1691437
194,1662654762.4953856
195,1662633189.6735008
196,1662544747.300828
197,1662530124.0346081
198,1662586965.8816187
199,1662531531.170683
200,1662607562.3140702
201,1662622929.2412097
202,1662604110.3358262
203,1662587640.988177
204,1662636891.808124
205,1662545961.3180728
206,1662556690.533184
207,1662596574.179382
208,1662699614.9201524
209,1662528644.5354621
210,1662516884.1022918
211,1662579399.0542147
212,1662672774.0048206
213,1662615743.5786219
214,1662600890.6339202
215,1662553685.015865
216,1662526344.764141
217,1662654772.3011155
218,1662699573.295703
219,1662560800.4586904
220,1662493950.626173
221,1662574610.3406863
222,1662603134.7782216
223,1662521414.9376616
224,1662700205.6061924
225,1662552435.7372792
226,1662633778.5569437
227,1662625033.0138521
228,1662636848.2331822
229,1662553989.7913477
230,1662654981.7024994
231,1662563810.9685192
232,1662654363.7027216
233,1662558255.8417206
