,losses
0,100.19995880126953
1,99.58626556396484
2,98.80412292480469
3,99.35263061523438
4,99.75199127197266
5,97.30084228515625
6,97.48822021484375
7,99.44071197509766
8,98.4813461303711
9,96.62567901611328
10,96.68585205078125
11,95.84751892089844
12,94.57921600341797
13,95.263916015625
14,94.13296508789062
15,95.26292419433594
16,96.32189178466797
17,92.7394790649414
18,93.00129699707031
19,96.16123962402344
20,93.2589111328125
21,96.92742156982422
22,91.46810150146484
23,91.38883972167969
24,92.23033905029297
25,94.42079162597656
26,89.50577545166016
27,93.14585876464844
28,91.63712310791016
29,90.38936614990234
30,87.96153259277344
31,86.41534423828125
32,87.69731903076172
33,89.7918472290039
34,92.05583190917969
35,89.32435607910156
36,90.76136016845703
37,89.3481216430664
38,81.62825012207031
39,88.54757690429688
40,88.37743377685547
41,85.6271743774414
42,85.48738098144531
43,86.29136657714844
44,87.3575668334961
45,86.8311538696289
46,82.03126525878906
47,87.81150817871094
48,82.73469543457031
49,87.82142639160156
50,84.32913208007812
51,84.3743896484375
52,77.41683959960938
53,87.41954040527344
54,85.4486312866211
55,80.83191680908203
56,84.4818344116211
57,81.052978515625
58,83.750244140625
59,87.81257629394531
60,84.15475463867188
61,82.27950286865234
62,79.79464721679688
63,85.87348937988281
64,81.88264465332031
65,82.26439666748047
66,79.17242431640625
67,83.106689453125
68,75.59210968017578
69,82.49020385742188
70,75.67749786376953
71,82.39801025390625
72,81.00544738769531
73,81.05314636230469
74,80.2586898803711
75,68.62091064453125
76,79.48505401611328
77,78.68745422363281
78,75.6297607421875
79,74.57009887695312
80,78.36085510253906
81,76.92027282714844
82,76.84555053710938
83,82.13707733154297
84,78.54444122314453
85,68.6535873413086
86,78.91238403320312
87,77.19942474365234
88,76.77981567382812
89,82.03302001953125
90,71.85714721679688
91,73.78369903564453
92,75.38818359375
93,70.96182250976562
94,80.46002197265625
95,72.43582916259766
96,71.6183853149414
97,72.33169555664062
98,72.30970001220703
99,72.46498107910156
100,72.52107238769531
101,72.09722900390625
102,72.3843994140625
103,75.06873321533203
104,68.70796966552734
105,69.75094604492188
106,75.17009735107422
107,66.28163146972656
108,73.86093139648438
109,65.15357971191406
110,66.57807159423828
111,76.07569122314453
112,70.54278564453125
113,71.48831939697266
114,72.38140106201172
115,74.93456268310547
116,70.5598373413086
117,67.02470397949219
118,69.55696868896484
119,71.28289794921875
120,67.39631652832031
121,64.45524597167969
122,60.92620849609375
123,73.01702880859375
124,67.38215637207031
125,68.58959197998047
126,76.85311889648438
127,70.19087982177734
128,67.96533966064453
129,65.38101196289062
130,62.58704376220703
131,70.56185913085938
132,65.92865753173828
133,63.472747802734375
134,67.54773712158203
135,66.61967468261719
136,59.56901168823242
137,67.46871185302734
138,66.9089584350586
139,64.26319885253906
140,64.54844665527344
141,63.863548278808594
142,65.4454116821289
143,68.38949584960938
144,62.512420654296875
145,64.87419891357422
146,62.970821380615234
147,66.44866943359375
148,57.17470932006836
149,61.944332122802734
150,62.47119903564453
151,58.79474639892578
152,57.797584533691406
153,69.08675384521484
154,58.89179992675781
155,62.153709411621094
156,59.66666793823242
157,54.16863250732422
158,70.10108184814453
159,63.643733978271484
160,65.24809265136719
161,69.2571792602539
162,60.54179000854492
163,60.251319885253906
164,54.71968460083008
165,60.40887451171875
166,61.83296203613281
167,62.69220733642578
168,60.76783752441406
169,61.68403625488281
170,52.386138916015625
171,64.8964614868164
172,61.808372497558594
173,60.27812576293945
174,64.38724517822266
175,66.0230484008789
176,60.22203826904297
177,58.63556671142578
178,55.21381378173828
179,53.89189910888672
180,57.81063461303711
181,66.93113708496094
182,57.82112503051758
183,56.91584396362305
184,55.04993438720703
185,65.1022720336914
186,60.56524658203125
187,53.5383186340332
188,60.31233215332031
189,57.19961929321289
190,62.410526275634766
191,55.999813079833984
192,50.59709930419922
193,56.520263671875
194,52.73628616333008
195,57.705223083496094
196,55.953704833984375
197,57.09638977050781
198,62.90626907348633
199,63.11344909667969
200,58.41875457763672
201,50.97682571411133
202,51.365482330322266
203,53.47965621948242
204,61.191978454589844
205,57.55653762817383
206,62.5942497253418
207,50.67339324951172
208,57.128047943115234
209,58.23844528198242
210,66.03582000732422
211,55.153106689453125
212,60.3625602722168
213,50.79973220825195
214,57.085975646972656
215,53.66398620605469
216,54.76028823852539
217,63.908538818359375
218,52.695499420166016
219,48.90631103515625
220,59.865745544433594
221,53.87844467163086
222,52.91445541381836
223,58.028743743896484
224,61.12025833129883
225,50.836647033691406
226,50.341190338134766
227,52.31478500366211
228,59.09858322143555
229,55.33671188354492
230,52.4884147644043
231,47.19056701660156
232,63.17286682128906
233,60.903377532958984
234,45.748992919921875
235,58.19013214111328
236,49.31572341918945
237,52.836517333984375
238,47.341400146484375
239,55.73088455200195
240,43.394466400146484
241,49.25421142578125
242,54.46732711791992
243,51.07393264770508
244,53.44272232055664
245,44.67578125
246,49.71526336669922
247,52.0671501159668
248,48.677215576171875
249,53.386417388916016
250,45.24192428588867
251,57.483726501464844
252,50.944358825683594
253,53.07502746582031
254,57.385013580322266
255,57.745094299316406
256,46.08148956298828
257,48.42066192626953
258,44.90428161621094
259,50.214439392089844
260,54.31404495239258
261,54.43413543701172
262,51.70135498046875
263,49.582244873046875
264,55.606956481933594
265,52.879783630371094
266,50.97049331665039
267,48.93285369873047
268,51.53229522705078
269,44.63637924194336
270,52.48440170288086
271,63.552398681640625
272,46.9654655456543
273,47.580780029296875
274,64.84765625
275,50.73815155029297
276,48.614341735839844
277,50.63740539550781
278,49.47960662841797
279,52.33783721923828
280,47.8192024230957
281,45.99370193481445
282,53.91863250732422
283,53.71323013305664
284,60.734619140625
285,51.41814422607422
286,50.58360290527344
287,51.43190383911133
288,55.87644958496094
289,46.737911224365234
290,48.700408935546875
291,37.1262321472168
292,45.937721252441406
293,50.396583557128906
294,47.1190185546875
295,54.96541976928711
296,55.1492919921875
297,61.91709518432617
298,48.09648895263672
299,42.379371643066406
300,48.228782653808594
301,50.61763381958008
302,44.7774772644043
303,56.45667266845703
304,45.84000778198242
305,54.23231887817383
306,47.19508743286133
307,47.02313995361328
308,54.1880989074707
309,53.30986785888672
310,50.87981033325195
311,53.7628288269043
312,47.6934928894043
313,48.98663330078125
314,44.123409271240234
315,53.66518020629883
316,55.245277404785156
317,49.12326431274414
318,46.08965301513672
319,45.03350067138672
320,57.405094146728516
321,46.665565490722656
322,44.95135498046875
323,48.73457717895508
324,47.673370361328125
325,51.18586349487305
326,46.276145935058594
327,54.765869140625
328,51.36268997192383
329,43.93837356567383
330,43.47917175292969
331,48.292701721191406
332,42.38868713378906
333,36.79253387451172
334,39.019107818603516
335,42.12467575073242
336,48.51411437988281
337,49.77170181274414
338,41.95750427246094
339,38.333988189697266
340,41.754669189453125
341,41.73693084716797
342,60.45964431762695
343,43.70452117919922
344,42.00836944580078
345,60.11425018310547
346,48.20755386352539
347,55.37065124511719
348,42.64326477050781
349,52.3690185546875
350,35.862361907958984
351,49.971397399902344
352,46.95748519897461
353,48.027042388916016
354,44.50764465332031
355,47.198081970214844
356,50.91029739379883
357,43.662593841552734
358,71.0044937133789
359,45.60573959350586
360,41.848567962646484
361,40.641300201416016
362,40.56965255737305
363,36.0673713684082
364,52.115962982177734
365,42.593692779541016
366,47.28571701049805
367,41.023746490478516
368,39.58383560180664
369,42.388118743896484
370,47.29985809326172
371,46.092529296875
372,52.42151641845703
373,43.318359375
374,46.704124450683594
375,54.552127838134766
376,44.45684814453125
377,37.14560317993164
378,42.21559524536133
379,48.71485900878906
380,35.859012603759766
381,34.77928924560547
382,38.678218841552734
383,46.98862075805664
384,38.0362548828125
385,58.920166015625
386,45.41326904296875
387,41.20274353027344
388,46.440120697021484
389,43.8864860534668
390,44.930137634277344
391,56.89746856689453
392,50.958778381347656
393,41.3242301940918
394,53.50870132446289
395,60.99602127075195
396,53.54740524291992
397,35.28470993041992
398,37.533992767333984
399,50.65066146850586
400,50.70244598388672
401,49.44476318359375
402,40.71420669555664
403,45.227439880371094
404,45.65654373168945
405,54.15726089477539
406,56.15959548950195
407,39.86903381347656
408,48.21855163574219
409,54.98338317871094
410,51.27257537841797
411,42.344703674316406
412,44.14234924316406
413,48.557838439941406
414,52.257843017578125
415,42.53512191772461
416,43.22929000854492
417,54.34366989135742
418,43.817047119140625
419,41.832366943359375
420,49.640052795410156
421,52.716888427734375
422,43.35198211669922
423,43.931846618652344
424,74.08831787109375
425,46.6043815612793
426,65.2049560546875
427,60.696041107177734
428,46.722808837890625
429,53.92915725708008
430,43.827884674072266
431,55.97067642211914
432,50.96535110473633
433,43.20243835449219
434,51.48019790649414
435,36.86043167114258
436,52.19326400756836
437,31.138286590576172
438,42.301212310791016
439,47.71063995361328
440,45.910980224609375
441,59.09001922607422
442,40.992923736572266
443,44.90059280395508
444,45.884212493896484
445,43.90696334838867
446,47.26721954345703
447,42.00020980834961
448,61.66331481933594
449,37.587913513183594
450,48.70323944091797
451,59.64327621459961
452,40.85759735107422
453,45.88982391357422
454,56.119842529296875
455,41.349266052246094
456,59.848968505859375
457,41.154537200927734
458,49.315093994140625
459,64.84002685546875
460,45.861244201660156
461,51.54013442993164
462,41.74949645996094
463,47.43809127807617
464,58.869327545166016
465,47.14183807373047
466,41.5286979675293
467,42.77093505859375
468,45.582420349121094
469,51.401451110839844
470,41.40359878540039
471,44.598758697509766
472,60.242191314697266
473,43.27771759033203
474,40.69913864135742
475,62.333335876464844
476,46.80848693847656
477,50.061241149902344
478,53.323638916015625
479,33.70175552368164
480,66.35928344726562
481,50.30263900756836
482,52.69235610961914
483,48.03703308105469
484,64.33911895751953
485,63.553096771240234
486,36.3403205871582
487,57.70541000366211
488,51.810646057128906
489,48.6138801574707
490,46.3686637878418
491,50.435882568359375
492,41.915523529052734
493,47.50017547607422
494,42.62470626831055
495,33.32985305786133
496,35.061073303222656
497,57.7171630859375
