,cum_rewards
0,-307.16693030427984
1,-306.7685697969384
2,-307.50408370171135
3,-307.32234966853247
4,-306.9839609470382
5,-307.63830491461607
6,-306.3215720553069
7,-306.46176750351043
8,-307.5088907116512
9,-307.416447437197
10,-306.81365043326986
11,-307.78422178122605
12,-307.8059304106398
13,-306.8358406444498
14,-306.9161890953227
15,-308.4970911457753
16,-307.24927839742134
17,-307.15521100639745
18,-306.9784494929597
19,-307.7633101494683
20,-307.50817788721866
21,-307.8604651693075
22,-307.1705005958462
23,-308.34994388873537
24,-307.4494652236253
25,-307.4888577750155
26,-308.21685150710823
27,-307.48384979566964
28,-306.560593973083
29,-307.7994248827809
30,-308.5552410583919
31,-308.2004594728719
32,-307.34596729573224
33,-307.84056250888125
34,-306.94026891547605
35,-308.0570340202384
36,-307.56352751831116
37,-308.31441384381395
38,-307.81585340287984
39,-306.7442749215066
40,-307.64299467803795
41,-308.0015933210296
42,-306.55107413412014
43,-307.2157165379137
44,-307.94490761104674
45,-307.7607982998696
46,-306.72149501529213
47,-307.2198074045226
48,-307.62241246430824
49,-307.2524178190802
50,-307.6534688859861
51,-306.66516775288187
52,-307.4587469670262
53,-307.51118585780387
54,-307.52933235168933
55,-307.03867664043077
56,-307.6607936015753
57,-306.5057621059789
58,-306.0952134352435
59,-308.6095540399822
60,-307.3810260050396
61,-306.9520993468163
62,-307.790087321086
63,-306.7171464032555
64,-308.0532426267069
65,-307.32083696574875
66,-307.8889839688519
67,-306.5946995795993
68,-307.0914221513492
69,-307.10760900315614
70,-306.9618199973969
71,-308.17697519045134
72,-306.6833287062117
73,-307.532044125897
74,-307.0727616763392
75,-306.97863306733603
76,-307.16630542572113
77,-307.5237022984737
78,-307.77442493186834
79,-308.60599790730765
80,-306.6151654946569
81,-307.2136418049894
82,-308.0226415596394
83,-308.38654501631135
84,-307.36504214201057
85,-307.7541409059452
86,-307.97023075698684
87,-307.7534439735615
88,-307.3273875254805
89,-307.96947171788605
90,-307.0640099990782
91,-307.4136282822733
92,-306.63132263626727
93,-307.00225317834446
94,-307.6773593285847
95,-307.7384340744955
96,-307.7963298218416
97,-307.40947528599446
98,-307.36632963610833
99,-307.5447156011435
100,-307.6090462800593
101,-306.8284445811553
102,-307.92042431928513
103,-307.5591025586818
104,-307.1055428667582
105,-308.2924437285953
106,-307.3276865934419
107,-307.8297323062569
108,-308.0280001951986
109,-307.3140722510047
110,-307.30410778791924
111,-306.8640134967459
112,-307.84670792536804
113,-306.9237821135424
114,-307.8841806204817
115,-307.61937139743975
116,-307.2936167162682
117,-308.2043753897395
118,-307.34078861542
119,-306.85293394870587
120,-306.8384188476757
121,-306.53854318216275
122,-307.2500083141735
123,-307.48226281906636
124,-307.0302594826298
125,-306.41622019955656
126,-307.4211974935073
127,-306.63593981721726
128,-307.0530442600131
129,-306.86681312285896
130,-307.353281698092
131,-306.77901969975585
132,-307.19172512562284
133,-307.4176362515094
134,-308.4999701987554
135,-307.24975018570507
136,-306.61013980325913
137,-307.6808511287169
138,-306.8366924903659
139,-308.11388578834243
140,-307.2504579576916
141,-307.36607258961016
142,-307.35152639199885
143,-307.65521404897225
144,-306.92672599761494
145,-307.73314214197444
146,-308.51776310488697
147,-307.25268847621845
148,-307.3635378166449
149,-306.8427729643941
150,-306.9021137720802
151,-307.2973907677566
152,-307.9675082421264
153,-307.42475033670445
154,-306.9176738761944
155,-307.3400515875682
156,-306.5546377882969
157,-307.0883718423344
158,-307.8743447108654
159,-306.81585543093814
160,-306.8328522008013
161,-307.6938846497034
162,-306.8555030496853
163,-306.79994090176353
164,-307.0292161803132
165,-307.4471346000463
166,-307.4632459174516
167,-307.32731542197746
168,-306.9521672180478
169,-306.25240895532573
170,-306.89200425154144
171,-307.6404300883177
172,-307.42383530697913
173,-306.7971970359615
174,-306.870401887885
175,-308.28895922754293
176,-307.9455961085837
177,-306.6027265910026
178,-308.02860922880154
179,-307.3994777781606
180,-307.0850366325708
181,-306.8705198317068
182,-306.653967553862
183,-307.1327895692655
184,-307.6982847031988
185,-307.8725111864044
186,-307.9275883305845
187,-306.7453815178421
188,-306.6483620070206
189,-306.996616158714
190,-307.8799187630324
191,-306.57475991430255
192,-307.07853168260147
193,-306.6790725908133
194,-307.78659343358777
195,-307.53526887411005
196,-307.5661014279285
197,-307.17312628457535
198,-306.9310837779349
199,-307.98696618128315
200,-307.774879178888
201,-307.4206085432047
202,-307.0849484052524
203,-306.69549442959004
204,-306.4902082283762
205,-306.25150485408625
206,-307.63003840611367
207,-306.6283696690678
208,-306.61890095633413
209,-306.9508396034135
210,-307.9108584251404
211,-308.2617905611275
212,-306.88587746927493
213,-307.1880461769152
214,-306.7318694975272
215,-307.3389752168091
216,-307.5662135202794
217,-307.4114051628577
218,-306.9832723753452
219,-307.8395863952592
220,-306.98427821544055
