,system_time,midpoint,spread,bid1,ask1,bid2,ask2,bid3,ask3,bid4,ask4,bid5,ask5,bid6,ask6,bid7,ask7,bid8,ask8,bid9,ask9,bid10,ask10,bid1_v,ask1_v,bid2_v,ask2_v,bid3_v,ask3_v,bid4_v,ask4_v,bid5_v,ask5_v,bid6_v,ask6_v,bid7_v,ask7_v,bid8_v,ask8_v,bid9_v,ask9_v,bid10_v,ask10_v
0,2021-04-08 00:00:59.968678+00:00,55962.105,0.01,55958.879999937475,55962.11999999977,55955.73999989111,55962.899999995534,55941.08999949976,55962.90999997947,55934.61999961042,55963.150000001166,55933.469998912646,55963.81999994298,55933.01999892286,55965.43999998765,55931.56999931771,55965.45000007338,55922.25000003595,55965.71000006296,55921.74000156766,55969.03000002379,55921.73000127834,55969.040000313114,361.05999755859375,2154.5400390625,148.83999633789062,148861.3125,304.1300048828125,381522.8125,1454.300048828125,1678.8900146484375,715.3900146484375,1119.280029296875,19998.08984375,8394.8203125,2345.419921875,20011.23046875,2796.110107421875,22386.279296875,279.8599853515625,16047.26953125,150.0,430651.1875
1,2021-04-08 00:01:59.968678+00:00,55975.995,0.01,55975.16999999323,55979.09999994865,55974.36999999129,55979.91999994427,55973.56999993845,55982.959999798906,55971.97999995688,55987.6200002111,55968.88999968531,55988.29999969091,55968.71000030215,55990.04000051605,55962.74000012543,55990.47000076209,55960.00999943471,55990.48000027529,55956.19999918685,55991.1200000732,55955.529999220234,55992.35999998711,917.989990234375,0.0,917.97998046875,2910.9599609375,917.969970703125,59.400001525878906,2738.60009765625,15289.9296875,1511.1600341796875,0.0,161479.15625,8398.509765625,8394.41015625,5599.0498046875,13284.580078125,20012.98046875,453.5400085449219,7838.759765625,8393.330078125,1119.8499755859375
2,2021-04-08 00:02:59.968678+00:00,55862.065,0.01,55861.760000008726,55862.07999999978,55860.00000000074,55864.999999961066,55859.79000008004,55865.01000005406,55855.1500000128,55866.69000002935,55855.139999716586,55868.5399999598,55854.99999963396,55869.59999965631,55854.47999967548,55870.66000016571,55851.650000386064,55871.10000019312,55850.05000013863,55871.76999971754,55850.00000028331,55874.98999999194,10.56999969482422,1547.3800048828125,2117.090087890625,4531.72998046875,73901.8984375,326222.59375,279.5299987792969,20011.029296875,11171.0302734375,3352.110107421875,55877.33984375,9213.8896484375,51090.78125,10752.7998046875,5000.0,20011.650390625,4970.64990234375,2410.52001953125,361.6300048828125,15440.2001953125
3,2021-04-08 00:03:59.968678+00:00,55859.095,0.01,55856.39000008581,55861.989999911166,55855.109999945744,55865.99000022188,55853.13999999848,55866.289999660934,55851.99999961018,55867.96000016914,55850.80000022823,55869.650000206435,55847.320000069674,55869.65999997097,55845.979999919866,55870.38999985241,55845.97000015532,55870.99000035624,55845.960000390776,55871.49999972779,55845.76999998738,55871.87999972175,318942.84375,3909.52001953125,1675.6500244140625,8379.900390625,5000.0,1971.1800537109373,2792.60009765625,2905.1298828125,4116.2001953125,279.6000061035156,2287.22998046875,59.31999969482422,145.91000366210938,916.27001953125,9513.150390625,8380.650390625,20002.41015625,916.2899780273438,82249.6484375,122.91999816894533
4,2021-04-08 00:04:59.968678+00:00,55899.375,2.37,55898.180000018765,55900.590000001765,55895.42000003233,55900.610000022294,55892.91000015004,55901.18000004823,55892.2399997164,55901.42999994901,55887.45999979147,55902.729999961775,55887.45000013708,55903.03999982247,55885.56000038289,55904.19999999655,55885.549999915056,55905.410000069445,55883.7500003041,55907.93000001285,55883.73999983627,55912.169999891805,31916.41015625,23073.9609375,2558.389892578125,159218.0,2275.6201171875,1910.239990234375,20003.76953125,1895.06005859375,279.69000244140625,916.7999877929688,20003.119140625,916.8099975585938,95.61000061035156,149966.828125,5000.0,144795.015625,10301.330078125,5000.0,5588.3701171875,133.74000549316406
5,2021-04-08 00:05:59.968678+00:00,55798.18,5.58,55790.230000393865,55800.98000009747,55790.00000003859,55800.99999994302,55788.76000027672,55803.45999982421,55787.15999964104,55812.95999974167,55787.15000022575,55812.96999996894,55786.55999980865,55812.98000019621,55786.12000036461,55813.62000012569,55785.32000004677,55814.26000005517,55782.04000020519,55814.2800005097,55782.029999977916,55814.449999501376,713.5599975585938,2518.5,2231.60009765625,146241.78125,2789.43994140625,1954.969970703125,193.5,279.32000732421875,1135.800048828125,143439.328125,5578.66015625,104213.1015625,27926.529296875,247655.296875,2789.27001953125,75021.90625,15728.3798828125,890.2899780273438,20001.69921875,20013.3203125
6,2021-04-08 00:06:59.968678+00:00,55731.17,3.54,55725.62000015521,55732.9499999736,55722.65999964327,55739.02999981963,55722.6500000717,55739.34999989689,55721.009999777096,55739.36000027946,55721.000000205524,55739.40000018774,55720.329999714275,55739.97999966885,55720.13999974443,55740.36999999111,55720.00000006544,55740.749999930806,55719.9800001113,55742.41000017955,55719.47000006419,55742.470000041976,63.90999984741211,1151.1500244140625,2749.02001953125,712.9000244140625,20005.939453125,2749.85009765625,278.8599853515625,17279.19921875,2507.449951171875,17508.26953125,995.0399780273438,80404.171875,55.720001220703125,96851.15625,14623.099609375,86801.15625,6325.16015625,1075.8299560546875,2785.969970703125,144893.296875
7,2021-04-08 00:07:59.968678+00:00,55759.615000000005,0.01,55752.12000032346,55759.63000000032,55751.620000243274,55763.08999982703,55751.59999981813,55763.12000005904,55749.999999886095,55767.869999603696,55749.78999988487,55771.32000031927,55749.199999920085,55771.33000012613,55748.999999725726,55773.80000029506,55748.7300000719,55773.81999990879,55747.210000217616,55777.87999939148,55744.23999996849,55779.07000075075,713.0700073242188,1193.260009765625,5225.58984375,2927.56005859375,143288.1875,58.619998931884766,919.8800048828124,2788.389892578125,152455.328125,279.1099853515625,919.8599853515624,5000.0,5000.0,5577.3798828125,919.8499755859376,22309.529296875,55.75,87055.9296875,1672.3299560546875,33099.30078125
8,2021-04-08 00:08:59.968678+00:00,55819.095,0.01,55816.709999927974,55819.109999999964,55816.6599999503,55820.70999996916,55812.98999992418,55820.719999985005,55812.98000000988,55823.41999989605,55812.93000003221,55823.42999981035,55812.920000117905,55824.6300000867,55812.26999959593,55828.68000030863,55812.25999968161,55828.69000022294,55811.55999999424,55828.719999965855,55811.19999983011,55828.83999974981,24984.44921875,881.9400024414062,396.8900146484375,1911.3299560546875,6016.4501953125,21774.029296875,24892.58984375,1026.68994140625,109419.5703125,985.3300170898438,745.6599731445312,35.880001068115234,6195.16015625,5024.580078125,23571.7109375,16679.970703125,1787.969970703125,20014.029296875,5000.0,8374.330078125
9,2021-04-08 00:09:59.968678+00:00,55839.995,0.01,55838.36999999469,55840.00999999969,55837.549999939816,55846.04000013758,55837.2100000781,55846.05000013949,55837.20000007619,55846.84999988583,55831.95999988905,55848.81999985539,55831.090000129356,55849.84000005,55830.340000392556,55850.38000015302,55830.289999976725,55850.56000018736,55829.72000027427,55852.779999798324,55827.879999923214,55852.79000020652,2836.89990234375,753.8400268554688,915.739990234375,3538.909912109375,111.31999969482422,58.68000030517578,55837.19921875,20011.529296875,24901.05078125,19543.0,39137.58984375,2314.030029296875,4968.89990234375,20013.310546875,5000.0,178.72000122070312,1920.8599853515625,279.5199890136719,15515.08984375,16202.0302734375
