,cum_rewards
0,-307.30518547726115
1,-307.00523068803193
2,-307.06630455498106
3,-307.6939918392237
4,-307.96031549250955
5,-307.06617736798563
6,-308.1940571800932
7,-307.06903797564115
8,-306.9896030789259
9,-307.7305617159387
10,-307.15996893473783
11,-308.04207887594947
12,-307.8725388503748
13,-307.6750769323043
14,-308.5636546999973
15,-307.34592523821806
16,-307.7818802193315
17,-307.9233445090338
18,-307.36455664204783
19,-306.99907325888347
20,-307.13924030683074
21,-307.1351226706361
22,-308.0032988645393
23,-307.51854771978634
24,-307.01770797343863
25,-306.5940001395743
26,-306.92441041792716
27,-307.02787926701524
28,-306.85300567489304
29,-307.63041811905754
30,-307.1979281055418
31,-307.0377509701046
32,-306.93291624117245
33,-308.01271624165395
34,-306.99325863779484
35,-306.80412228819637
36,-307.0125478022042
37,-306.5395274683713
38,-307.66879237286935
39,-306.46868585634627
40,-307.80860456231096
41,-307.85980228146764
42,-307.1724420653883
43,-307.93041904833757
44,-307.18899521596603
45,-307.4203772607404
46,-307.0359569843265
47,-308.10073635724535
48,-306.70006074061865
49,-307.293033160929
50,-306.71572753303553
51,-307.7778090650587
52,-306.7827069855239
53,-307.05698138527976
54,-307.7946202950706
55,-307.0912622248993
56,-307.20194789557837
57,-307.68645427562495
58,-307.4576556228879
59,-307.9744192805337
60,-307.5146430069527
61,-306.66564553856927
62,-307.02905060330147
63,-307.5084850837046
64,-306.8162508125342
65,-307.1147475455437
66,-307.7006406129954
67,-306.3920185910036
68,-307.61364632741123
69,-307.55664727842424
70,-306.9007904037999
71,-306.96739638924083
72,-307.8948457716985
73,-307.5447465546884
74,-308.31189926246554
75,-307.1714227007577
76,-307.08794256862916
77,-307.06010881239695
78,-307.4002412027513
79,-307.4664689481977
80,-306.55110363602205
81,-307.2644790465219
82,-306.72776398214467
83,-307.3754662244106
84,-308.69888539508054
85,-306.41494352813913
86,-307.8041868535433
87,-307.30848330596166
88,-307.29450519488483
89,-308.33550953740246
90,-307.2253993179933
91,-307.11944632162266
92,-307.7191688900684
93,-307.6467331846931
94,-307.1728877461388
95,-307.1340328366518
96,-308.5624578225621
97,-307.20509293734466
98,-306.25097304204934
99,-308.1084021356739
100,-306.0531777494172
101,-307.9685596246311
102,-306.88577254696725
103,-307.46767271839434
104,-307.09325362466797
105,-307.0086963190513
106,-307.68211861166503
107,-307.2638314667552
108,-307.82586171223437
109,-306.81641322374753
110,-307.33004483005533
111,-307.2683485427129
112,-307.90613743000915
113,-307.6952099753764
114,-308.3719646933184
115,-308.10249858640736
116,-307.8680342381587
117,-307.2547540385854
118,-306.93095548150075
119,-306.5509374188512
120,-306.5893914003561
121,-306.44676626414764
122,-305.97029538873255
123,-307.91297677772536
124,-307.61621812458645
125,-308.02235952975116
126,-306.56986518502674
127,-308.1228809779585
128,-307.75610727914665
129,-307.97944791116976
