,sell_money
0,1662598124.334122
1,1662647648.1871104
2,1662603717.8986266
3,1662626384.5135195
4,1662579779.2885423
5,1662496162.136761
6,1662597210.3888535
7,1662639283.8939679
8,1662636848.3296354
9,1662575694.5513988
10,1662523128.1772873
11,1662599208.094576
12,1662487419.1180873
13,1662626270.6346326
14,1662488197.3800716
15,1662536424.548547
16,1662557025.4545972
17,1662655943.0745192
18,1662544449.6462474
19,1662512334.014958
20,1662606821.1551075
21,1662594686.827231
22,1662623733.8878295
23,1662631267.636152
24,1662546021.1544752
25,1662538413.5832977
26,1662536744.0805166
27,1662576993.5638862
28,1662543100.8260036
29,1662499946.9513893
30,1662659385.7414417
31,1662586572.1458032
32,1662592867.2974346
33,1662588904.1349678
34,1662531488.3154075
35,1662522612.8240519
36,1662666086.19907
37,1662653357.259505
38,1662571937.124364
39,1662543483.184055
40,1662533710.8839846
41,1662607751.3312151
42,1662579476.4790332
43,1662625869.7257397
44,1662515438.5172126
45,1662534527.039266
46,1662687383.858865
47,1662517531.6075833
48,1662688492.759231
49,1662605923.3690822
50,1662597216.5529077
51,1662649333.490722
52,1662619757.7752059
53,1662621321.5524888
54,1662676733.3543408
55,1662680247.7785552
56,1662657939.41295
57,1662596094.4942074
58,1662583097.1510112
59,1662527925.5230584
60,1662524506.8250961
61,1662741213.0029678
62,1662531048.9323506
63,1662645304.370054
64,1662545735.8860066
65,1662509343.3866968
66,1662688713.9001
67,1662611540.8301256
68,1662553234.9324844
69,1662649631.2845244
70,1662551313.4791965
71,1662623371.8500495
72,1662567297.073712
73,1662553279.8785882
74,1662655574.2778635
75,1662539394.7522047
76,1662614666.9348137
77,1662513148.3280764
78,1662680693.5490253
79,1662637773.2419915
80,1662566801.1874568
81,1662583776.6885738
82,1662531709.453784
83,1662579243.0468931
84,1662675453.2529235
85,1662561657.5652826
86,1662551843.5860102
87,1662525302.9044056
88,1662597599.5710871
89,1662618091.9119184
90,1662601290.0331714
91,1662608488.0701613
92,1662553065.4934232
93,1662603306.0766702
94,1662599636.6891186
95,1662646990.540546
96,1662609253.5513597
97,1662670539.636738
98,1662521658.487939
99,1662567048.7701247
100,1662582351.972298
101,1662582699.3968537
102,1662629816.4367707
103,1662547618.2188296
104,1662683990.1422746
105,1662511627.6124308
106,1662665197.9333875
107,1662591471.2837374
108,1662567421.931086
109,1662622752.6561263
110,1662626488.8572867
111,1662558625.3370638
112,1662550174.473978
113,1662621978.0605898
114,1662616120.117173
115,1662539697.4762895
116,1662576869.829506
117,1662580715.5676646
118,1662541796.9318013
119,1662612151.3751156
120,1662682783.5817297
121,1662515553.3816905
122,1662532297.0268552
123,1662594339.8521943
124,1662750031.5846798
125,1662493907.763077
126,1662619495.41969
127,1662623015.5857012
128,1662624228.594212
129,1662549686.7255397
130,1662600097.1219199
131,1662632103.3299472
132,1662688030.834306
133,1662562403.583102
134,1662547094.828733
