,cum_rewards
0,-307.35390665877617
1,-306.85866812889293
2,-307.29797101372895
3,-307.07130486480366
4,-307.53735711457426
5,-308.3735286323845
6,-307.36304611146124
7,-306.9423110603177
8,-306.9666667036413
9,-307.578204486012
10,-308.1038682271243
11,-307.34306905423733
12,-308.4609588191228
13,-307.07244365366967
14,-308.4531761992807
15,-307.9709045145269
16,-307.7648954540272
17,-306.7757192548051
18,-307.8906535375206
19,-308.2118098504173
20,-307.26693844892304
21,-307.38828172768933
22,-307.09781112170106
23,-307.0224736384747
24,-307.8749384552465
25,-307.9510141670185
26,-307.9677091948336
27,-307.56521436113417
28,-307.90414173996106
29,-308.33568048610306
30,-306.7412925855796
31,-307.46942854196686
32,-307.40647702565025
33,-307.4461086503146
34,-308.02026684592147
35,-308.10902175947695
36,-306.6742880092996
37,-306.8015774049442
38,-307.6157787563559
39,-307.9003181594487
40,-307.9980411601524
41,-307.25763668784265
42,-307.5403852096659
43,-307.07645274259875
44,-308.1807648278671
45,-307.98987960733484
46,-306.46131141134765
47,-308.1598339241623
48,-306.4502224076865
49,-307.2759163091757
50,-307.3629844709205
51,-306.84181509277835
52,-307.13757224794256
53,-307.121934475111
54,-306.5678164565904
55,-306.5326722144477
56,-306.7557558704983
57,-307.37420505792403
58,-307.50417848988553
59,-308.05589476941407
60,-308.09008174903016
61,-305.9230199703183
62,-308.02466067649107
63,-306.88210629945837
64,-307.87779113993
65,-308.2417161330326
66,-306.44801099899934
67,-307.21974169874164
68,-307.80280067515383
69,-306.8388371547553
70,-307.8220152080315
71,-307.1014314995005
72,-307.66217926287675
73,-307.8023512141147
74,-306.77940722136157
75,-307.9412024779526
76,-307.18848065185455
77,-308.2036667192333
78,-306.52821450974125
79,-306.95741758008046
80,-307.66713812542844
81,-307.4973831142572
82,-308.0180554621562
83,-307.54271953106775
84,-306.58061747076135
85,-307.71857434717316
86,-307.81671413989625
87,-308.082120955941
88,-307.3591542891264
89,-307.15423088081275
90,-307.3222496682834
91,-307.25026929837793
92,-307.80449506576565
93,-307.30208923329656
94,-307.33878310881306
95,-306.8652445945406
96,-307.24261448639874
97,-306.6297536326157
98,-308.11856512060876
99,-307.6646622987447
100,-307.5116302770166
101,-307.5081560314609
102,-307.03698563229284
103,-307.8589678116995
104,-306.49524857725385
105,-308.2188738756885
106,-306.6831706661203
107,-307.4204371626243
108,-307.66093068913545
109,-307.1076234387341
110,-307.0702614271292
111,-307.7488966293569
112,-307.833405260213
113,-307.1153693940992
114,-307.173948828268
115,-307.9381752371044
116,-307.56645170493715
117,-307.527994323353
118,-307.9171806819806
119,-307.21363624883844
120,-306.5073141827015
121,-308.1796161830934
122,-308.01217973144605
123,-307.3917514780542
124,-305.83483415319995
125,-308.3960723692273
126,-307.1401958031002
127,-307.1049941429866
128,-307.0928640578747
129,-307.8382827445999
