,cum_rewards
145,-307.34413028030326
146,-307.04865852212856
147,-307.5217204786376
148,-306.5505711379993
149,-306.82455891671515
150,-307.0687945009022
151,-307.07203716502465
152,-307.61707498612026
153,-308.2243495494127
154,-307.50493486637964
155,-307.8339045914282
156,-307.7225558427957
157,-307.91642451868677
158,-306.906835472344
159,-307.00656557867035
160,-307.0299106964822
161,-306.9522929816998
162,-307.1679877289665
163,-307.917701546409
164,-307.04289045568083
165,-308.24938389256016
166,-307.4447787211784
167,-307.2873611253423
168,-307.78188732223686
169,-308.4290364439496
170,-308.3170844202831
171,-306.90268962812644
172,-306.80066823981485
173,-307.30806551275134
174,-307.3896375656029
175,-306.83249198318686
176,-308.4240116781376
177,-307.9258048920266
178,-307.2474580974048
179,-306.8455543615626
180,-307.37977217612865
181,-308.09455053114533
182,-307.78858517938147
183,-307.2060538324086
184,-307.4576469283002
185,-307.81940447072185
186,-307.618833643861
187,-307.7569729397309
188,-308.0405871604223
189,-308.2597116800401
190,-306.87873073232856
191,-306.9205171063242
192,-307.087112353472
193,-306.78098237867425
194,-308.26940151536644
195,-307.12505349383565
196,-307.7476637639521
197,-307.7740806902997
198,-307.7088840659564
199,-307.0716292181491
200,-306.4762540545234
201,-306.72104248353565
202,-308.29718041857257
203,-306.8514172032367
204,-307.3747167851924
205,-306.9375499833808
206,-308.3852561148386
207,-306.85711465772465
208,-306.5598371902067
209,-307.3849106115873
210,-306.9281510780965
211,-307.965625158333
212,-307.84262377210706
213,-306.9026166133267
214,-306.77319387777857
215,-307.02454058464616
216,-307.264628661046
217,-307.4501198693227
218,-307.3279811570915
219,-308.3613373670331
220,-307.66401008621057
221,-307.29876949501
222,-307.3790217025948
223,-307.4053157701329
224,-306.3964853697194
225,-307.2481301462742
226,-306.79941466062513
227,-307.8790161188051
228,-307.1510546418294
229,-307.51476443144725
230,-306.57812820813166
231,-307.841004161165
232,-306.7052632953658
233,-306.95467461120813
234,-306.56252441675724
235,-307.4925128437007
236,-307.1096004255833
237,-307.99814296678886
238,-306.9481983425566
239,-307.22378872552406
240,-307.51980741615495
241,-306.60768293847144
242,-307.5657057695132
243,-307.35255725039747
244,-307.5961000089201
245,-306.79528181672276
246,-306.9337803295704
247,-307.16990015313644
248,-308.1055063853473
249,-307.2116318578538
250,-307.43968587804864
251,-306.87521840676095
252,-307.4530891742695
253,-308.21934025670913
254,-306.44221743655953
255,-307.12820168694265
256,-307.6181224680051
257,-307.3926023830822
258,-307.108703725166
259,-307.7544287777318
260,-307.3826319008532
261,-306.70290568631367
262,-307.23461424275655
263,-306.54380055452003
264,-308.13904564492344
265,-307.7401979110497
266,-307.33273068118814
267,-307.5829034416421
268,-308.01799699198324
269,-306.753369187176
270,-307.4120055309722
271,-306.89748808056663
272,-307.9590850812869
273,-306.61353378893193
274,-307.5146172154343
275,-306.96011854678216
276,-307.0438338652719
277,-308.10033196093343
278,-307.2223163091662
279,-307.16595080728854
280,-308.02846764999504
281,-307.89808465064135
282,-307.756718579551
283,-306.43196943966655
284,-307.85056077540406
285,-307.3541430835879
286,-307.5212854034455
287,-307.06254252039395
288,-306.8346147440933
289,-307.5093109202639
290,-307.4012208334419
291,-307.6149216935178
292,-307.30087215138764
293,-307.358563522307
294,-307.1234640807013
295,-307.1134483312144
296,-306.64539916871377
297,-308.13379034368467
298,-307.2812531435869
299,-306.9593423145193
300,-306.53027352190077
301,-307.4047301473706
302,-307.093966219816
303,-307.6976658718104
304,-308.45773910173153
305,-307.3469060228166
306,-307.68127199509144
307,-306.73904037690346
308,-307.2534592211001
309,-308.2325285884542
310,-307.4617978256054
311,-307.35898129954467
312,-306.6418475734875
313,-307.8664378164672
314,-308.10315159271215
315,-308.0423354598365
316,-307.1348798670115
317,-306.1275305539592
318,-306.9865083919164
319,-307.74553598384904
320,-306.4040883868472
321,-307.1225924126028
322,-308.2217498312738
323,-307.21521772000966
324,-307.23310145328946
325,-307.82652217710944
326,-308.1337032078564
327,-307.3929101410523
328,-306.4864640651885
329,-307.53599294477965
330,-307.66459004980834
331,-307.87974118107184
332,-306.86550095408955
333,-307.0441007653952
334,-307.441050622205
335,-307.85546937234284
336,-306.89030689245163
337,-307.51162022521197
338,-307.8416068787883
339,-307.1861187620544
340,-307.6310433841684
341,-307.97441655721383
342,-308.02303074712984
343,-306.66418375476326
344,-307.566412133619
345,-307.89719501625035
346,-306.92445390344864
347,-306.25786989718114
348,-307.69057207014646
349,-307.9325415916988
350,-307.6371524674663
351,-308.4279195381272
352,-307.3691593016261
353,-307.74859241894717
354,-306.71883698013556
355,-307.48925518232693
356,-308.09399958153585
357,-307.9013736401563
358,-307.4716104702281
359,-308.31680742374635
360,-308.22607503039444
361,-306.8427427828215
362,-307.5686917094314
363,-307.4360650720759
364,-306.2651867275711
365,-307.08955520886195
366,-307.43167348767827
367,-307.8322328474472
368,-307.23726175644737
369,-307.7978523894464
370,-306.91994086637305
371,-307.59823506681283
372,-307.10805534341876
373,-307.6301579777369
374,-307.09947235856333
375,-306.9961413174301
376,-307.77110881027954
377,-308.2479102430564
378,-307.0785755771681
379,-306.49890321326006
380,-307.31510986494897
381,-307.55077994256106
382,-307.1742036745525
383,-307.87629317964723
384,-307.00481319922045
385,-307.26331462541333
386,-307.5562056020692
387,-308.01194135520694
388,-306.68584301333766
389,-308.1585921908898
390,-307.45650554058597
391,-306.98316356588833
392,-306.7098460156239
393,-307.73915882387286
394,-306.85446237106544
395,-307.035866990286
396,-306.820148077763
397,-307.7293352528132
398,-307.2710473567874
399,-306.73203406454695
400,-307.9351472631307
401,-306.7728786071416
402,-306.5197653889689
403,-306.5382582629382
404,-307.0022529129283
405,-306.7397862616137
406,-307.6226206406688
407,-307.60676164065666
408,-307.74535846804037
409,-307.1585152265222
410,-307.5000389973727
411,-307.400980685785
412,-306.79972236622564
413,-307.17967329860204
414,-306.966423512562
415,-307.32346883459957
416,-307.271809287295
417,-307.27719778343914
418,-307.1593616115413
419,-307.51006227190106
420,-307.1078466751371
421,-308.1392083696541
422,-306.73909882686416
423,-307.1802778135927
424,-307.52498226931743
425,-307.06494591848497
426,-307.37659281218754
427,-306.4657893919441
428,-307.58620496273033
429,-307.44950954966635
430,-308.07746093964136
431,-306.79773383655265
432,-306.3406476138829
433,-307.0013235382235
434,-307.0356576983183
435,-307.489915752565
436,-306.7395413741512
437,-306.76749406057877
438,-306.68470324526055
439,-307.07020923646184
440,-307.6406661381756
441,-307.4144570809926
442,-308.12338635029363
443,-307.03870128791715
444,-307.0793284469773
445,-306.4020733949613
446,-307.3461362928711
447,-307.93507644089254
448,-306.30703953169734
449,-308.0188909138172
450,-307.4400450205086
451,-306.6065382591162
452,-306.9171021415571
453,-307.06776877667215
454,-307.029811368944
455,-307.36449482461035
456,-306.45410623035133
457,-307.25452869590066
458,-306.44006486009494
459,-306.9589060437158
460,-306.8009928241739
461,-307.3089488053651
462,-306.6078461475412
463,-307.14027135238115
464,-306.71865117866577
465,-307.21360707686864
466,-308.13093892725914
467,-307.33192911634075
468,-306.98278353076444
469,-307.4667580191582
470,-307.52651957586653
471,-307.32858612448723
472,-308.4236722448134
473,-307.7099699246966
474,-307.0111621580931
475,-307.9712399607452
476,-306.8951972719965
477,-307.58721912035594
478,-307.8822629244251
479,-308.29271189303654
480,-308.40100869600076
481,-307.34138448130267
482,-307.3869647200372
483,-307.40459906152057
484,-307.4648237383163
485,-306.9577548887607
486,-307.88684607551244
487,-306.90957398348274
488,-306.4873352374479
489,-306.5683099127361
490,-307.5087269757529
491,-306.4830521840475
492,-307.2567569584081
493,-307.86835606739055
494,-307.5018097953362
495,-306.7184444123437
496,-306.6508906132812
497,-307.5700138690903
498,-307.7002070727831
499,-307.3244214897
500,-306.8869969773514
501,-307.8988542934321
502,-306.8445143135639
503,-307.26592679093187
504,-306.522416604311
505,-307.10726513941364
506,-306.8154638128904
507,-307.32081094681445
508,-308.2118286854205
509,-306.7995711534399
510,-307.1300103458796
511,-307.5293290429054
512,-307.2686876687125
513,-307.1274446140098
514,-306.85704563516674
515,-307.4830481503142
516,-307.9396209217649
517,-308.03824174119194
518,-306.88437786885464
519,-306.8235220598433
520,-307.6705278589086
521,-308.35749739038425
522,-307.8950277138135
523,-307.51638158510656
524,-307.0298165183178
525,-306.92618736733317
526,-308.34735750337956
527,-307.4104002480912
528,-307.70989230535037
529,-307.3456519550001
530,-306.63233550924724
531,-307.2769653954669
532,-307.88676302740396
533,-306.81146216549826
534,-306.70153613810726
535,-306.6465224634454
536,-307.6537962854208
537,-307.5336824612836
538,-307.57775213113604
539,-307.1651911846156
540,-307.3499060606328
541,-306.8083787688982
542,-307.79604249073503
543,-306.7273625991723
544,-307.29891107492466
545,-307.3010941859855
546,-307.0940190711506
547,-306.9594286450661
548,-307.54876234717733
549,-307.61436572954716
550,-306.48456141128565
551,-307.106173216596
552,-307.62092147449596
553,-307.67224703244995
554,-307.42557528071194
555,-307.6254252010353
556,-307.53663720925897
557,-307.8695271746513
558,-307.2281955186724
559,-307.5925724386521
560,-307.92360338953614
561,-307.93361497710015
562,-308.10876119024005
563,-306.4633609184155
564,-307.6713415533975
565,-306.9350061365109
566,-306.5250375296894
567,-306.71712060685724
568,-308.2535202169231
569,-306.6967410324431
570,-307.4769076337501
