,sell_money
0,1662661299.8757806
1,1662648269.873929
2,1662574284.8321896
3,1662588287.521116
4,1662590735.3678782
5,1662517098.8150623
6,1662715613.2267802
7,1662512514.6048715
8,1662600720.5857937
9,1662625433.566755
10,1662542584.866067
11,1662653902.3262317
12,1662540537.429019
13,1662568853.3800657
14,1662579532.3598387
15,1662616522.702722
16,1662568499.308566
17,1662582306.1150882
18,1662554737.0850217
19,1662575844.4173481
20,1662627826.0675075
21,1662586108.9810843
22,1662583333.785465
23,1662596338.2543457
24,1662583340.458479
25,1662571608.3716986
26,1662656806.1142066
27,1662578427.0131776
28,1662611520.1743422
29,1662640889.7847385
30,1662639136.5679975
31,1662664970.4120061
32,1662645600.2867982
33,1662512252.4365711
34,1662607490.8784287
35,1662617955.2480195
36,1662568239.9372547
37,1662604121.7975085
38,1662601937.2489226
39,1662543505.7678936
40,1662586342.0567334
41,1662643714.0440807
42,1662537605.6498592
43,1662679076.1144586
44,1662590037.84996
45,1662577639.8546045
46,1662629762.35904
47,1662528669.7325644
48,1662680129.986195
49,1662642961.6889424
50,1662658304.8672652
51,1662551961.3517914
52,1662637233.3542278
53,1662671415.7539055
54,1662684326.5566576
55,1662548965.4825099
56,1662639439.7394483
57,1662628145.267824
58,1662460276.0784307
59,1662621900.6682215
60,1662666003.4214206
61,1662611638.5894105
62,1662583398.029474
63,1662599491.8987184
64,1662611352.8951445
65,1662520923.5974982
66,1662583250.4572349
67,1662549761.328673
68,1662548093.9264
69,1662645455.9735055
70,1662614669.3411465
71,1662580223.9657667
72,1662567146.5097847
73,1662659271.2995129
74,1662661976.035214
75,1662595966.8536296
76,1662569171.3462076
77,1662649097.3027768
78,1662540095.4014955
79,1662562573.7226186
80,1662626309.8008368
81,1662547539.0991857
82,1662561294.1895742
83,1662620239.2088282
84,1662593273.4618
85,1662633119.719045
86,1662644580.9767616
87,1662623016.1141808
88,1662613649.8628836
89,1662549399.1934433
90,1662646737.5979373
91,1662695292.662521
92,1662609182.593337
93,1662565840.7635198
94,1662595644.658582
95,1662651138.085471
96,1662517436.7475107
97,1662601042.1017241
98,1662555636.425165
99,1662526029.9498549
100,1662621155.23472
101,1662607927.0507255
102,1662635589.3819988
103,1662587944.5660856
104,1662573009.3927963
105,1662632365.175013
106,1662570478.8150744
107,1662694855.7409368
108,1662556242.205546
109,1662554079.7655637
110,1662593619.047876
111,1662607504.7554114
112,1662653849.9332638
113,1662721422.7133043
114,1662521118.542027
115,1662552814.3600614
116,1662572341.4925666
117,1662614651.63484
118,1662605498.5130634
119,1662614836.831213
120,1662691476.9366329
121,1662580818.9297862
122,1662571894.9690974
123,1662637102.0936532
124,1662651171.7384317
125,1662658147.012877
126,1662479293.9838645
127,1662612196.8268697
128,1662508118.6424103
129,1662619191.4931924
130,1662594960.8533285
131,1662529501.67456
132,1662699516.6078548
133,1662625533.9674275
134,1662650658.6661606
135,1662644055.7745261
136,1662635526.718102
137,1662640657.1030917
138,1662594464.4304848
139,1662640065.256941
140,1662513745.7443597
141,1662625581.231405
142,1662623188.9867163
143,1662643531.6201515
144,1662574543.6619308
145,1662559145.8601496
146,1662578181.692795
147,1662573795.3963614
148,1662584919.9078405
149,1662565902.5823402
150,1662590909.5702157
151,1662587489.1555946
152,1662705352.1338542
153,1662622403.768671
154,1662550032.3114033
155,1662632431.2450924
156,1662623975.8083372
157,1662623825.2547026
158,1662660976.6802173
159,1662537693.6992612
160,1662581794.7171557
161,1662600557.5312598
162,1662655424.657897
163,1662582318.197742
164,1662612058.0971313
165,1662559114.7699993
166,1662602300.7287261
167,1662628328.4929862
168,1662602297.8478842
169,1662521909.6729846
170,1662668266.2747676
171,1662505602.4371707
172,1662519743.6267583
173,1662603298.1448443
174,1662597012.565934
175,1662635122.353141
176,1662548071.8845813
177,1662584222.407608
178,1662599627.4306223
179,1662556686.2122185
180,1662521917.3550258
181,1662606497.0642295
182,1662629864.503921
183,1662664560.1659722
184,1662600937.1662848
185,1662589953.4630601
186,1662633491.0179217
187,1662665590.5668657
188,1662669953.8643188
189,1662644891.7957695
190,1662595914.3951015
191,1662577636.2899756
192,1662606216.3609233
193,1662496141.733339
194,1662597926.6434934
195,1662624345.1100492
196,1662636741.2947862
197,1662522768.1601486
198,1662599532.1018324
199,1662639724.516525
200,1662551814.4117208
201,1662535068.0562627
202,1662556932.383444
203,1662604639.017681
204,1662665344.5481744
205,1662576642.4211702
206,1662556338.764462
207,1662660781.815091
208,1662562174.133242
209,1662672262.673875
210,1662635176.162073
211,1662595865.1574833
212,1662567523.129919
213,1662588562.7596574
214,1662522745.8213344
215,1662654051.67638
216,1662624403.8653977
217,1662594267.5044153
218,1662672177.8519151
219,1662620920.9448211
220,1662597320.3717642
221,1662633708.2817924
222,1662634101.26198
223,1662635292.6286237
224,1662649935.4200215
225,1662602049.133255
226,1662657959.169664
227,1662639886.3346884
228,1662619452.7601252
229,1662601628.4057148
230,1662577353.050294
231,1662556421.3783538
232,1662637918.987295
233,1662560513.1564753
234,1662573292.73285
235,1662535633.833321
236,1662621640.0544431
237,1662664610.5328653
238,1662661808.7283468
239,1662469208.5771625
240,1662656815.6176043
241,1662599032.3169549
242,1662632082.4711368
243,1662589476.4273317
244,1662549030.6179507
245,1662603401.5298388
246,1662603500.7561824
247,1662624215.7489598
248,1662570491.8726087
249,1662562283.1089637
250,1662529035.8882947
251,1662562182.9435227
252,1662596985.6841147
253,1662521500.9250343
254,1662680598.3521445
