,cum_rewards
0,-307.7073789067929
1,-306.4874167198068
2,-307.41484127507226
3,-306.7992919198853
4,-307.21233476712376
5,-307.97195279964956
6,-307.71704520767275
7,-308.29675552402426
8,-307.9055225550313
9,-306.97299291604696
10,-307.0048214257732
11,-307.3842175148148
12,-307.4330862735145
13,-306.9846502348608
14,-306.6726641556702
15,-306.84112402635395
16,-307.5169759515984
17,-307.0751258696417
18,-307.48268236462513
19,-307.17436679825954
20,-307.13320336158256
21,-307.5652555486727
22,-308.0150950053141
23,-308.4395672398433
24,-306.89012488855303
25,-306.8095241258177
26,-307.897066699792
27,-307.46409200290265
28,-307.7123167020713
29,-307.7064641647029
30,-307.3693054116381
31,-307.7727791707948
32,-306.9164222182001
33,-307.0833077107915
34,-307.3439730704982
35,-307.8874951859918
36,-307.4341353808258
37,-307.9710709130833
38,-308.1331836239219
39,-307.8449009754444
40,-307.92061603848805
41,-307.2983939247213
42,-307.57047995328736
43,-307.17617988456493
44,-307.3288114228349
45,-307.8918124207345
46,-307.3211489065235
47,-307.5068996350223
48,-307.1287123410579
49,-307.22279449345
50,-307.0456885278804
51,-308.4019803196735
52,-306.61142050633185
53,-307.08142498738636
54,-307.4405110217895
55,-307.7324308034482
56,-307.6882393039179
57,-307.1781610076374
58,-307.718039681519
59,-307.44936994513233
60,-306.8565819309704
61,-306.9365729575808
62,-307.8056065846867
63,-306.6269268501339
64,-307.5628980549989
65,-307.06977806368445
66,-307.22800460407103
67,-307.3907632682283
68,-306.73480808895863
69,-307.3077770193209
70,-306.1897278064204
71,-306.7116747606702
72,-307.19804717759
73,-306.4513506405476
74,-307.0020255798464
75,-307.2660438367254
76,-306.8469076588215
77,-307.7172157667772
78,-308.0358696019826
79,-307.26406486126467
80,-307.6298896142833
81,-307.2980171335845
82,-307.8303618588145
83,-306.2058866691139
84,-307.33597050766446
85,-306.7968913876612
86,-306.7675925268197
87,-307.1858949480777
88,-308.04208381172157
89,-306.75901834038825
90,-307.79873334897104
91,-307.56138588415126
92,-306.6935132478363
93,-307.37676229650214
94,-307.3704213421767
95,-308.3543654740657
96,-306.4313026514281
97,-308.1053723113028
98,-307.1156701920942
99,-306.6929259188713
100,-307.31495504990943
101,-306.7531210385483
102,-306.9887025587008
103,-307.5408283328606
104,-307.5506616622647
105,-306.3574352781194
106,-306.6747957335045
107,-307.78106831010984
108,-307.28234285728064
109,-306.45101617444385
110,-307.3086354366197
111,-308.1518958701016
112,-306.9522902935845
113,-306.7371270483499
114,-307.73130325605183
115,-306.91434510819386
116,-307.1221376114577
117,-307.72577095556085
118,-307.7810886962423
